"Region","Category","Year","Value"
"Beijing","IT_value",2024,9153.26
"Beijing","IT_value",2023,8536.94
"Beijing","IT_value",2022,7947.51
"Beijing","IT_value",2021,7005.65
"Beijing","IT_value",2020,6316.16
"Beijing","IT_value",2019,5695.28
"Beijing","IT_value",2018,4957.82
"Beijing","IT_value",2017,4486.89
"Beijing","IT_value",2016,3940.98
"Tianjin","IT_value",2024,2120.25
"Tianjin","IT_value",2023,1928.56
"Tianjin","IT_value",2022,1650.87
"Tianjin","IT_value",2021,1256.83
"Tianjin","IT_value",2020,1089.56
"Tianjin","IT_value",2019,909.25
"Tianjin","IT_value",2018,685.59
"Tianjin","IT_value",2017,551.44
"Tianjin","IT_value",2016,552.64
"Hebei","IT_value",2024,1958.77
"Hebei","IT_value",2023,1783.09
"Hebei","IT_value",2022,1003.83
"Hebei","IT_value",2021,747.32
"Hebei","IT_value",2020,554.96
"Hebei","IT_value",2019,381.19
"Hebei","IT_value",2018,275.98
"Hebei","IT_value",2017,88.92
"Hebei","IT_value",2016,59
"Shanxi","IT_value",2024,274.78
"Shanxi","IT_value",2023,223.86
"Shanxi","IT_value",2022,161.43
"Shanxi","IT_value",2021,134.47
"Shanxi","IT_value",2020,44.98
"Shanxi","IT_value",2019,109.52
"Shanxi","IT_value",2018,150.76
"Shanxi","IT_value",2017,94.15
"Shanxi","IT_value",2016,42.56
"Inner Mongolia","IT_value",2024,75.99
"Inner Mongolia","IT_value",2023,60.98
"Inner Mongolia","IT_value",2022,51.3
"Inner Mongolia","IT_value",2021,41.15
"Inner Mongolia","IT_value",2020,35.95
"Inner Mongolia","IT_value",2019,22.48
"Inner Mongolia","IT_value",2018,19.84
"Inner Mongolia","IT_value",2017,19.61
"Inner Mongolia","IT_value",2016,12.05
"Liaoning","IT_value",2024,1517.68
"Liaoning","IT_value",2023,1289.07
"Liaoning","IT_value",2022,971.35
"Liaoning","IT_value",2021,755.12
"Liaoning","IT_value",2020,632.81
"Liaoning","IT_value",2019,557.59
"Liaoning","IT_value",2018,474.49
"Liaoning","IT_value",2017,385.83
"Liaoning","IT_value",2016,323.22
"Jilin","IT_value",2024,208.82
"Jilin","IT_value",2023,84
"Jilin","IT_value",2022,36.95
"Jilin","IT_value",2021,108.15
"Jilin","IT_value",2020,462.15
"Jilin","IT_value",2019,474.13
"Jilin","IT_value",2018,341.95
"Jilin","IT_value",2017,219.92
"Jilin","IT_value",2016,116.42
"Heilongjiang","IT_value",2024,130.29
"Heilongjiang","IT_value",2023,112.88
"Heilongjiang","IT_value",2022,460.18
"Heilongjiang","IT_value",2021,350.14
"Heilongjiang","IT_value",2020,265.2
"Heilongjiang","IT_value",2019,232.88
"Heilongjiang","IT_value",2018,165.92
"Heilongjiang","IT_value",2017,146.71
"Heilongjiang","IT_value",2016,125.81
"Shanghai","IT_value",2024,5009.32
"Shanghai","IT_value",2023,4642.34
