Region,Category,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,IT_value,9153.26,8536.94,7947.51,7005.65,6316.16,5695.28,4957.82,4486.89,3940.98
Tianjin,IT_value,2120.25,1928.56,1650.87,1256.83,1089.56,909.25,685.59,551.44,552.64
Hebei,IT_value,1958.77,1783.09,1003.83,747.32,554.96,381.19,275.98,88.92,59.00
Shanxi,IT_value,274.78,223.86,161.43,134.47,44.98,109.52,150.76,94.15,42.56
Inner Mongolia,IT_value,75.99,60.98,51.30,41.15,35.95,22.48,19.84,19.61,12.05
Liaoning,IT_value,1517.68,1289.07,971.35,755.12,632.81,557.59,474.49,385.83,323.22
Jilin,IT_value,208.82,84.00,36.95,108.15,462.15,474.13,341.95,219.92,116.42
Heilongjiang,IT_value,130.29,112.88,460.18,350.14,265.20,232.88,165.92,146.71,125.81
Shanghai,IT_value,5009.32,4642.34,3870.73,2545.49,1583.22,1422.35,1225.19,810.62,780.99
Jiangsu,IT_value,5019.14,3331.00,2986.78,2606.17,2087.85,1471.52,991.45,778.42,635.64
Zhejiang,IT_value,5015.22,4323.71,2435.07,1855.78,1403.32,888.01,590.66,324.73,198.37
Anhui,IT_value,3933.22,3597.57,2875.45,1787.71,659.57,449.61,321.31,249.57,217.37
Fujian,IT_value,375.76,329.00,259.52,196.80,163.54,139.59,84.52,75.46,43.22
Jiangxi,IT_value,2582.65,1584.87,733.88,409.38,233.41,148.61,115.82,96.21,79.01
Shandong,IT_value,4866.92,4554.67,3231.83,2477.79,1903.89,1110.02,819.95,511.64,395.95
Henan,IT_value,1754.37,1362.63,1020.75,607.33,379.78,231.89,149.28,76.85,58.71
Hubei,IT_value,5462.45,4771.17,3010.00,2090.78,1665.81,1429.84,1204.09,1033.08,903.84
Hunan,IT_value,4799.84,3989.77,2542.89,1261.26,735.95,490.69,281.61,203.19,105.63
Guangdong,IT_value,2027.67,3866.78,3967.48,4099.61,3267.21,2223.08,1365.42,937.08,758.17
Guangxi,IT_value,182.89,88.93,226.99,940.58,91.67,77.56,61.41,39.42,33.99
Hainan,IT_value,68.93,52.59,31.55,28.42,20.19,9.11,6.94,4.11,3.44
Chongqing,IT_value,943.82,718.49,559.47,184.52,117.79,56.65,188.35,51.36,147.19
Sichuan,IT_value,2596.48,1942.15,1643.53,1388.69,1244.59,1211.95,996.70,405.83,299.30
Guizhou,IT_value,585.59,482.02,390.72,289.27,249.11,227.18,171.10,80.74,20.44
Yunnan,IT_value,337.18,268.88,218.95,106.10,49.95,82.70,89.49,84.76,58.26
Tibet,IT_value,14.79,8.17,6.21,1.73,0.78,0.96,0.04,0.04,
Shaanxi,IT_value,4825.91,4118.46,3048.73,2343.44,1758.72,1467.35,1125.29,920.94,802.79
Gansu,IT_value,562.85,464.81,335.84,280.39,233.16,196.42,180.88,162.96,150.66
Qinghai,IT_value,23.36,19.30,16.03,14.10,10.56,9.10,79.36,67.72,56.92
Ningxia,IT_value,48.33,40.30,34.05,25.09,16.81,14.90,12.11,6.67,4.05
Xinjiang,IT_value,101.08,73.58,31.18,18.85,15.11,7.82,3.92,5.76,4.28

Region,Category,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,medicalbed,14.11,13.88,13.39,13.03,12.70,12.78,12.36,12.06,11.70
Tianjin,medicalbed,7.32,7.25,6.85,6.87,6.83,6.83,6.82,6.84,6.58
